TweetID,Date,Month,DayOfWeek,Hour,Topic,Hashtag,Sentiment,SentimentScore,Language,Device,Source,Likes,Retweets,Replies,Impressions,Verified,FollowerCount
TW100000,2023-09-28,Sep 2023,Thursday,20,Health,#Wellness,Neutral,0.03,Spanish,Web,Android,1,0,0,77,1,1786
TW100001,2023-10-04,Oct 2023,Wednesday,14,Economy,#Economy,Positive,0.43,English,Mobile,Android,17,4,1,172,0,482
TW100002,2023-05-11,May 2023,Thursday,19,Entertainment,#Series,Negative,-0.912,Hindi,Mobile,iPhone,89,34,18,181,0,1149
TW100003,2023-02-04,Feb 2023,Saturday,1,Food,#Food,Negative,-0.302,English,Web,Android,22,5,1,1746,0,2612
TW100004,2023-09-09,Sep 2023,Saturday,14,Gaming,#Gaming,Negative,-0.752,Portuguese,Desktop,Twitter Web,23,6,5,467,0,15
TW100005,2023-05-16,May 2023,Tuesday,11,Music,#Spotify,Neutral,0.07,English,Web,Twitter Web,13,4,2,1232,0,65
TW100006,2023-10-20,Oct 2023,Friday,13,Health,#Wellness,Negative,-0.788,Hindi,Mobile,Twitter Web,14,5,3,639,0,739
TW100007,2023-06-28,Jun 2023,Wednesday,18,Movies,#Movies,Positive,0.169,English,Mobile,TweetDeck,14,3,2,129,0,2654
TW100008,2023-10-11,Oct 2023,Wednesday,19,Music,#Playlist,Positive,0.345,English,Mobile,TweetDeck,19,2,2,1186,0,363
TW100009,2023-05-17,May 2023,Wednesday,19,Economy,#Finance,Negative,-0.942,Hindi,Mobile,iPhone,5,0,0,258,0,1191
TW100010,2023-04-23,Apr 2023,Sunday,5,Sports,#Cricket,Positive,0.578,English,API,Android,1,0,0,570,0,1115
TW100011,2023-09-12,Sep 2023,Tuesday,19,Fashion,#Designer,Positive,0.137,Hindi,Web,Android,4,1,0,103,0,248
TW100012,2023-05-27,May 2023,Saturday,22,Movies,#Review,Negative,-0.898,Hindi,Mobile,Twitter Web,14,5,1,208,0,1190
TW100013,2023-12-12,Dec 2023,Tuesday,18,Health,#Health,Negative,-0.749,English,Mobile,Buffer,100,26,22,126,0,2274
TW100014,2023-06-10,Jun 2023,Saturday,13,Gaming,#Minecraft,Positive,0.105,English,Mobile,TweetDeck,46,4,3,544,0,1177
TW100015,2023-03-09,Mar 2023,Thursday,21,Music,#Music,Positive,0.558,English,Mobile,Android,68,21,7,391,0,279
TW100016,2023-02-20,Feb 2023,Monday,16,Economy,#Stock,Neutral,0.014,English,Mobile,Twitter Web,16,5,1,345,0,5212
TW100017,2023-08-21,Aug 2023,Monday,2,Climate,#COP28,Neutral,0.07,Portuguese,Mobile,Buffer,49,17,5,243,0,813
TW100018,2023-12-26,Dec 2023,Tuesday,15,Economy,#Inflation,Negative,-0.368,Hindi,API,iPhone,21,7,4,597,0,351
TW100019,2023-01-13,Jan 2023,Friday,1,Movies,#Review,Neutral,-0.032,English,Mobile,Twitter Web,15,4,3,1103,0,863
